year,month,day,gender,births,mother_age,father_age
1969,1,1,F,4046,24.599110232328226,34.45477014335146
1969,1,1,M,4440,24.3472972972973,34.94054054054054
1969,1,2,F,4454,24.601257296811855,34.70902559497081
1969,1,2,M,4548,24.630167106420405,34.26253298153034
1969,1,3,F,4548,24.940193491644678,34.90765171503958
1969,1,3,M,4994,24.603924709651583,34.50100120144173
1969,1,4,F,4440,24.983783783783785,34.26081081081081
1969,1,4,M,4520,24.6,34.611946902654864
1969,1,5,F,4192,24.666984732824428,34.5081106870229
1969,1,5,M,4198,24.647927584564076,34.25869461648404
1969,1,6,F,4710,24.729936305732483,34.87133757961784
1969,1,6,M,4850,24.976494845360826,34.15876288659794
1969,1,7,F,4646,25.17089969866552,34.690916917778736
1969,1,7,M,5092,24.978004713275727,33.55930871956009
1969,1,8,F,4800,24.74041666666667,34.67625
1969,1,8,M,4934,24.911228212403728,33.84596676124848
1969,1,9,F,4592,24.642421602787458,34.99738675958188
1969,1,9,M,4842,24.82280049566295,34.66294919454771
1969,1,10,F,4852,24.67848309975268,33.617889530090686
1969,1,10,M,5190,24.82466281310212,35.040462427745666
1969,1,11,F,4580,24.788646288209605,34.068558951965066
1969,1,11,M,4598,24.67072640278382,33.839930404523706
1969,1,12,F,4126,24.407174018419777,33.82113427047988
1969,1,12,M,4324,24.80249768732655,34.5
1969,1,13,F,4758,24.82303488860866,33.706599411517445
1969,1,13,M,5076,25.00709219858156,33.9692671394799
1969,1,14,F,5070,24.914792899408283,34.11715976331361
1969,1,14,M,5296,25.018126888217523,33.438066465256796
1969,1,15,F,4798,24.9137140475198,34.04126719466444
1969,1,15,M,5096,24.78335949764521,34.05494505494506
1969,1,16,F,4790,24.884342379958245,33.82797494780793
1969,1,16,M,4872,24.7183908045977,34.047208538587846
1969,1,17,F,4944,24.80299352750809,34.204288025889966
1969,1,17,M,5030,24.918091451292245,33.70377733598409
1969,1,18,F,4670,24.653961456102785,34.56188436830835
1969,1,18,M,4642,24.69754416199914,33.812580784144764
1969,1,19,F,4170,24.49592326139089,34.35635491606715
